"id","carb_id","name_th","name_en","carbohydrate","fiber","weight","weightUnit","source","type","imageUrl","note"
"1","1","ข้าวสวย/ข้าวกล้อง","ข้าวสวย/ข้าวกล้อง","18","0","55","กรัม","1","1","","1คาร์บ=1ทัพพี (55กรัม)"
"2","2","ข้าวเหนียว","ข้าวเหนียว","18","0","35","กรัม","1","1","","1คาร์บ=½ทัพพี (35กรัม)"
"3","3","ข้าวต้ม","ข้าวต้ม","18","0","150","กรัม","1","1","","1คาร์บ=2ทัพพี (150 - 170กรัม)"
"4","4","บะหมี่ (สุก)","บะหมี่ (สุก)","18","0","40","กรัม","1","1","","1คาร์บ=1ทัพพี (40 - 50กรัม)"
"5","5","เส้นหมี่ขาว (ลวก)","เส้นหมี่ขาว (ลวก)","18","0","70","กรัม","1","1","","1คาร์บ=1ทัพพี (70กรัม)"
"6","6","ก๋วยเตี๋ยวเส้นเล็ก (ลวก)","ก๋วยเตี๋ยวเส้นเล็ก (ลวก)","18","0","70","กรัม","1","1","","1คาร์บ=1ทัพพี (70กรัม)"
"7","7","เส้นใหญ่ (ลวก)","เส้นใหญ่ (ลวก)","18","0","60","กรัม","1","1","","1คาร์บ=1ทัพพี (60 - 70กรัม)"
"8","8","ขนมจีน","ขนมจีน","18","0","75","กรัม","1","1","","1คาร์บ=1 จับใหญ่ (75กรัม)"
"9","9","วุ้นเส้น (ลวก)","วุ้นเส้น (ลวก)","18","0","80","กรัม","1","1","","1คาร์บ=1ทัพพี (80กรัม)"
"10","10","มักกะโรนี","มักกะโรนี","18","0","70","กรัม","1","1","","1คาร์บ=1ทัพพี (70กรัม)"
"11","11","โจ๊ก","โจ๊ก","18","0","135","กรัม","1","1","","1คาร์บ=2ทัพพี (135กรัม)"
"12","12","มุสลี","มุสลี","18","0","4","ช้อนโต๊ะ","1","1","","1คาร์บ=4 ช้อนโต๊ะ (-กรัม)"
"13","13","ข้าวโพด (สุก)","ข้าวโพด (สุก)","18","0","65","กรัม","1","1","","1คาร์บ=½ ฝักกลาง (65กรัม)"
"14","14","ขนมปังแผ่น","ขนมปังแผ่น","18","0","25","กรัม","1","1","","1คาร์บ=1 แผ่น (25กรัม)"
"15","15","ขนมปังแฮมเบอเกอร์/ฮอทด็อก","ขนมปังแฮมเบอเกอร์/ฮอทด็อก","18","0","0.5","คู่","1","1","","1คาร์บ=½ คู่ (-กรัม)"
"16","16","แป้งโรตีปาแย","แป้งโรตีปาแย","18","0","40","กรัม","1","1","","1คาร์บ=1 แผ่นเล็ก (40กรัม)"
"17","17","ขนมปัง (ดินเนอร์โรล)","ขนมปัง (ดินเนอร์โรล)","18","0","1","ก้อน","1","1","","1คาร์บ=1 ก้อน (-กรัม)"
"18","18","แป้งปอเปี๊ยะ","แป้งปอเปี๊ยะ","18","0","30","กรัม","1","1","","1คาร์บ=1 แผ่น (30กรัม)"
"19","19","แป้งเกี๊ยว","แป้งเกี๊ยว","18","0","30","กรัม","1","1","","1คาร์บ=4 แผ่น (30กรัม)"
"20","20","ขนมปังกรอบรูปสัตว์","ขนมปังกรอบรูปสัตว์","18","0","25","กรัม","1","1","","1คาร์บ=8 ชิ้น (25กรัม)"
"21","21","ขนมปังกรอบใส่สลัด","ขนมปังกรอบใส่สลัด","18","0","25","กรัม","1","1","","1คาร์บ=1ถ้วยตวง (25กรัม)"
"22","22","แครกเกอร์แผ่นกลม","แครกเกอร์แผ่นกลม","18","0","25","กรัม","1","1","","1คาร์บ=6 แผ่น (25กรัม)"
"23","23","บิสกิต","บิสกิต","18","0","1","ชิ้น","1","1","","1คาร์บ=1 ชิ้น (Ø 2 ½ นิ้ว)"
"24","24","แป้งข้าวเจ้า (แป้งก๋วยเตี๋ยวลุยสวน)","แป้งข้าวเจ้า (แป้งก๋วยเตี๋ยวลุยสวน)","18","0","1","แผ่น","1","1","","1คาร์บ=1 แผ่น (Ø 8 นิ้ว)"
"25","25","ขนมปังพีต้า","ขนมปังพีต้า","18","0","0.5","แผ่น","1","1","","1คาร์บ=½ แผ่น (Ø 6 นิ้ว)"
"26","26","ลูกเดือย","ลูกเดือย","18","0","65","กรัม","1","1","","1คาร์บ=1ทัพพี (65กรัม)"
"27","27","เมล็ดเกาลัดจีนคั่ว","เมล็ดเกาลัดจีนคั่ว","18","0","30","กรัม","1","1","","1คาร์บ=6 เม็ด (30กรัม)"
"28","28","ข้าวโอ๊ต","ข้าวโอ๊ต","18","0","110","กรัม","1","1","","1คาร์บ=1ทัพพี (110กรัม)"
"29","29","เผือก/มัน (ต้ม)","เผือก/มัน (ต้ม)","18","0","65","กรัม","1","1","","1คาร์บ=1ทัพพี (65กรัม)"
"30","30","สาคูเม็ดเล็ก (สุก)","สาคูเม็ดเล็ก (สุก)","18","0","100","กรัม","1","1","","1คาร์บ=1ทัพพี (100กรัม)"
"31","31","สาคูเม็ดใหญ่ (สุก)","สาคูเม็ดใหญ่ (สุก)","18","0","75","กรัม","1","1","","1คาร์บ=5 ช้อนโต๊ะ (75กรัม)"
"32","32","เส้นก๋วยจั๊บ (สุก)","เส้นก๋วยจั๊บ (สุก)","18","0","90","กรัม","1","1","","1คาร์บ=1ทัพพี (90กรัม)"
"33","33","เส้นก๋วยจั๊บญวน (ต้ม)","เส้นก๋วยจั๊บญวน (ต้ม)","18","0","65","กรัม","1","1","","1คาร์บ=1ทัพพี (65กรัม)"
"34","34","แปะก๊วย (ต้ม)","แปะก๊วย (ต้ม)","18","0","50","กรัม","1","1","","1คาร์บ=4 ช้อนโต๊ะ (50กรัม)"
"35","35","มันฝรั่ง (ต้ม)","มันฝรั่ง (ต้ม)","18","0","90","กรัม","1","1","","1คาร์บ=½ หัวกลาง (90กรัม)"
"36","36","มันฝรั่ง (ปิ้ง/เผา) ทั้งเปลือก","มันฝรั่ง (ปิ้ง/เผา) ทั้งเปลือก","18","0","90","กรัม","1","1","","1คาร์บ=¼ หัวใหญ่ (90กรัม)"
"37","37","ฟักทอง (สุก)","ฟักทอง (สุก)","18","0","70","กรัม","1","1","","1คาร์บ=1ทัพพี (70 - 100กรัม)"
"38","38","ถั่วเมล็ดแห้งต่างๆ","ถั่วเมล็ดแห้งต่างๆ","18","0","30","กรัม","1","1","","1คาร์บ=1ทัพพี (30กรัม)"
"39","39","เม็ดขนุน (ต้ม)","เม็ดขนุน (ต้ม)","18","0","50","กรัม","1","1","","1คาร์บ=9 เม็ด (50กรัม)"
"40","40","บะหมี่ญี่ปุ่น (อุด้ง)","บะหมี่ญี่ปุ่น (อุด้ง)","18","0","75","กรัม","1","1","","1คาร์บ=-ทัพพี (75กรัม)"
"41","41","ข้าวเม่าไม่ใส่น้ำตาล (ข้าวเหนียว)","ข้าวเม่าไม่ใส่น้ำตาล (ข้าวเหนียว)","18","0","20","กรัม","1","1","","1คาร์บ=-ทัพพี (20กรัม)"
"42","42","มันแกว","มันแกว","18","0","195","กรัม","1","1","","1คาร์บ=4 หัวเล็ก (195กรัม)"
"43","43","แห้ว (สุก)","แห้ว (สุก)","18","0","100","กรัม","1","1","","1คาร์บ=½ถ้วยตวง (100กรัม)"
"44","44","มันฝรั่งบด","มันฝรั่งบด","18","0","100","กรัม","1","1","","1คาร์บ=½ถ้วยตวง (100กรัม)"
"45","45","รากบัว (ดิบ)","รากบัว (ดิบ)","18","0","100","กรัม","1","1","","1คาร์บ=½ถ้วยตวง (100กรัม)"
"46","46","เม็ดบัว (นึ่ง)","เม็ดบัว (นึ่ง)","18","0","55","กรัม","1","1","","1คาร์บ=½ถ้วยตวง (55กรัม)"
"47","47","กระจับ (สุก)","กระจับ (สุก)","18","0","60","กรัม","1","1","","1คาร์บ=½ถ้วยตวง (60กรัม)"
"48","48","โปรตีนเกษตร (แห้ง)","โปรตีนเกษตร (แห้ง)","18","0","40","กรัม","1","1","","1คาร์บ=40กรัม (40กรัม)"
"49","49","หมี่กึน/เนื้อเทียม","หมี่กึน/เนื้อเทียม","18","0","0.75","ถ้วยตวง","1","1","","1คาร์บ=¾ถ้วยตวง (-กรัม)"
"50","50","ควินัวสุก Quinoa*","ควินัวสุก Quinoa*","18","0","70","กรัม","1","1","","1คาร์บ=⅓ถ้วยตวง (70กรัม)"
"51","51","กล้วยน้ำว้า/กล้วยไข่","กล้วยน้ำว้า/กล้วยไข่","15","0","45","กรัม","1","2","","1คาร์บ=1 ผล (45กรัม)"
"52","52","กล้วยหอม","กล้วยหอม","15","0","50","กรัม","1","2","","1คาร์บ=½ ผลขนาด 9 นิ้ว (50กรัม)"
"53","53","กีวี","กีวี","15","0","120","กรัม","1","2","","1คาร์บ=1 ผล (120กรัม)"
"54","54","แก้วมังกร","แก้วมังกร","15","0","120","กรัม","1","2","","1คาร์บ=½ ผลกลาง (120กรัม)"
"55","55","ขนุน","ขนุน","15","0","55","กรัม","1","2","","1คาร์บ=3 ยวงเล็ก (55กรัม)"
"56","56","แคนตาลูป","แคนตาลูป","15","0","185","กรัม","1","2","","1คาร์บ=10 - 15 ชิ้นคำ (1 ถ้วยตวง) (185กรัม)"
"57","57","เงาะ","เงาะ","15","0","85","กรัม","1","2","","1คาร์บ=4 ผลกลาง (85กรัม)"
"58","58","ชมพู่ (เมืองเพชร)","ชมพู่ (เมืองเพชร)","15","0","200","กรัม","1","2","","1คาร์บ=2 - 3 ผลกลาง (200กรัม)"
"59","59","เชอร์รี่สด","เชอร์รี่สด","15","0","45","กรัม","1","2","","1คาร์บ=12 ผล (45กรัม)"
"60","60","ตะขบ","ตะขบ","15","0","75","กรัม","1","2","","1คาร์บ=½ ถ้วยตวง (75กรัม)"
"61","61","แตงไทย","แตงไทย","15","0","485","กรัม","1","2","","1คาร์บ=18 - 20 ชิ้นคำ (485กรัม)"
"62","62","แตงโม","แตงโม","15","0","285","กรัม","1","2","","1คาร์บ=9 - 10 ชิ้นคำ 2ถ้วยตวง (285กรัม)"
"63","63","ทุเรียนหมอนทอง","ทุเรียนหมอนทอง","15","0","50","กรัม","1","2","","1คาร์บ=½ เม็ดกลาง (50กรัม)"
"64","64","น้อยหน่า","น้อยหน่า","15","0","70","กรัม","1","2","","1คาร์บ=½ ผล (70กรัม)"
"65","65","พุทราไทย","พุทราไทย","15","0","75","กรัม","1","2","","1คาร์บ=4 - 5 ผลกลาง (75กรัม)"
"66","66","มะกอกฝรั่ง","มะกอกฝรั่ง","15","0","120","กรัม","1","2","","1คาร์บ=3ผล (120กรัม)"
"67","67","มะขามเทศ","มะขามเทศ","15","0","95","กรัม","1","2","","1คาร์บ=3ฝัก (95กรัม)"
"68","68","มะขามหวาน","มะขามหวาน","15","0","20","กรัม","1","2","","1คาร์บ=1 - 2 ฝักใหญ่ (20กรัม)"
"69","69","มะปรางสุก","มะปรางสุก","15","0","120","กรัม","1","2","","1คาร์บ=2 ผลกลาง (120กรัม)"
"70","70","มะพร้าวอ่อน (เนื้อ)","มะพร้าวอ่อน (เนื้อ)","15","0","200","กรัม","1","2","","1คาร์บ=- (200กรัม)"
"71","71","มะเฟืองหวาน","มะเฟืองหวาน","15","0","160","กรัม","1","2","","1คาร์บ=1ผล (160กรัม)"
"72","72","มะไฟ","มะไฟ","15","0","145","กรัม","1","2","","1คาร์บ=15 ผล (145กรัม)"
"73","73","มะม่วงเขียวเสวยดิบ","มะม่วงเขียวเสวยดิบ","15","0","135","กรัม","1","2","","1คาร์บ=½ ผลกลาง (135กรัม)"
"74","74","มะม่วงน้ำดอกไม้สุก","มะม่วงน้ำดอกไม้สุก","15","0","80","กรัม","1","2","","1คาร์บ=½ ผลกลาง (80กรัม)"
"75","75","มะยงชิด","มะยงชิด","15","0","100","กรัม","1","2","","1คาร์บ=2ผล (100กรัม)"
"76","76","มะละกอแขกดำสุก","มะละกอแขกดำสุก","15","0","115","กรัม","1","2","","1คาร์บ=8 ชิ้นคำ (115กรัม)"
"77","77","มังคุด","มังคุด","15","0","75","กรัม","1","2","","1คาร์บ=4ผล (75กรัม)"
"78","78","ระกำ","ระกำ","15","0","110","กรัม","1","2","","1คาร์บ=6ผล (110กรัม)"
"79","79","ลองกอง","ลองกอง","15","0","90","กรัม","1","2","","1คาร์บ=6 - 8 ผล (90กรัม)"
"80","80","ละมุด","ละมุด","15","0","70","กรัม","1","2","","1คาร์บ=1 ผลใหญ่ (70กรัม)"
"81","81","ลางสาด","ลางสาด","15","0","100","กรัม","1","2","","1คาร์บ=6 - 8 ผล (100กรัม)"
"82","82","ลำไยกะโหลก","ลำไยกะโหลก","15","0","80","กรัม","1","2","","1คาร์บ=6ผล (80กรัม)"
"83","83","ลิ้นจี่","ลิ้นจี่","15","0","115","กรัม","1","2","","1คาร์บ=6ผล (115กรัม)"
"84","84","ลูกเกด","ลูกเกด","15","0","22","กรัม","1","2","","1คาร์บ=2 ช้อนโต๊ะ (22กรัม)"
"85","85","ลูกตาลสด","ลูกตาลสด","15","0","155","กรัม","1","2","","1คาร์บ=3 ผล (155กรัม)"
"86","86","ลูกพรุน","ลูกพรุน","15","0","60","กรัม","1","2","","1คาร์บ=3 ผล (60กรัม)"
"87","87","ลูกพลับ","ลูกพลับ","15","0","120","กรัม","1","2","","1คาร์บ=½ ผลใหญ่ (120กรัม)"
"88","88","ลูกหว้า","ลูกหว้า","15","0","110","กรัม","1","2","","1คาร์บ=1 ถ้วยตวง (110กรัม)"
"89","89","สตรอเบอรี","สตรอเบอรี","15","0","175","กรัม","1","2","","1คาร์บ=8 - 10 ผลเล็ก (175กรัม)"
"90","90","ส้มเขียวหวาน","ส้มเขียวหวาน","15","0","160","กรัม","1","2","","1คาร์บ=2 ผลกลาง (160กรัม)"
"91","91","ส้มเช้ง","ส้มเช้ง","15","0","120","กรัม","1","2","","1คาร์บ=1 ผลใหญ่ (120กรัม)"
"92","92","ส้มโอทองดี","ส้มโอทองดี","15","0","120","กรัม","1","2","","1คาร์บ=2 - 3 กลีบกลาง (120กรัม)"
"93","93","สละ","สละ","15","0","110","กรัม","1","2","","1คาร์บ=6 ผล (110กรัม)"
"94","94","สับปะรดศรีราชา","สับปะรดศรีราชา","15","0","125","กรัม","1","2","","1คาร์บ=8 ชิ้นคำ (125กรัม)"
"95","95","สาลี่หอม","สาลี่หอม","15","0","110","กรัม","1","2","","1คาร์บ=1 ผลเล็ก (110กรัม)"
"96","96","องุ่นแดง (ผลใหญ่)","องุ่นแดง (ผลใหญ่)","15","0","100","กรัม","1","2","","1คาร์บ=6 ผล (100กรัม)"
"97","97","อินทผาลัม","อินทผาลัม","15","0","60","กรัม","1","2","","1คาร์บ=3 ผล (60กรัม)"
"98","98","แอปเปิ้ลแดง (ฟูจิ)","แอปเปิ้ลแดง (ฟูจิ)","15","0","100","กรัม","1","2","","1คาร์บ=1 ผลเล็ก (100กรัม)"
"99","99","แอปปริคอต","แอปปริคอต","15","0","3.5","ผล","1","2","","1คาร์บ=3 ½ ผล (3.5ผล)"
"100","100","น้ำมะพร้าวอ่อน","น้ำมะพร้าวอ่อน","15","0","240","ซีซี","1","2","","1คาร์บ=1 ถ้วยตวง (240ซีซี)"
"101","101","น้ำเสาวรส","น้ำเสาวรส","15","0","120","ซีซี","1","2","","1คาร์บ=½ ถ้วยตวง (120ซีซี)"
"102","102","น้ำส้ม","น้ำส้ม","15","0","120","ซีซี","1","2","","1คาร์บ=½ ถ้วยตวง (120ซีซี)"
"103","103","น้ำสับปะรด","น้ำสับปะรด","15","0","120","ซีซี","1","2","","1คาร์บ=½ ถ้วยตวง (120ซีซี)"
"104","104","น้ำแอปเปิ้ล","น้ำแอปเปิ้ล","15","0","120","ซีซี","1","2","","1คาร์บ=½ ถ้วยตวง (120ซีซี)"
"105","105","น้ำองุ่น","น้ำองุ่น","15","0","80","ซีซี","1","2","","1คาร์บ=⅓ ถ้วยตวง (80ซีซี)"
"106","106","กล้วยน้ำว้า/กล้วยไข่","กล้วยน้ำว้า/กล้วยไข่","15","0","45","กรัม","1","2","","1คาร์บ=1 ผล (45กรัม)"
"107","107","กล้วยหอม","กล้วยหอม","15","0","50","กรัม","1","2","","1คาร์บ=½ ผลขนาด 9 นิ้ว (50กรัม)"
"108","108","กีวี","กีวี","15","0","120","กรัม","1","2","","1คาร์บ=1 ผล (120กรัม)"
"109","109","แก้วมังกร","แก้วมังกร","15","0","120","กรัม","1","2","","1คาร์บ=½ ผลกลาง (120กรัม)"
"110","110","ขนุน","ขนุน","15","0","55","กรัม","1","2","","1คาร์บ=3 ยวงเล็ก (55กรัม)"
"111","111","แคนตาลูป","แคนตาลูป","15","0","185","กรัม","1","2","","1คาร์บ=10 - 15 ชิ้นคำ (1 ถ้วยตวง) (185กรัม)"
"112","112","เงาะ","เงาะ","15","0","85","กรัม","1","2","","1คาร์บ=4 ผลกลาง (85กรัม)"
"113","113","ชมพู่ (เมืองเพชร)","ชมพู่ (เมืองเพชร)","15","0","200","กรัม","1","2","","1คาร์บ=2 - 3 ผลกลาง (200กรัม)"
"114","114","เชอร์รี่สด","เชอร์รี่สด","15","0","45","กรัม","1","2","","1คาร์บ=12 ผล (45กรัม)"
"115","115","ตะขบ","ตะขบ","15","0","75","กรัม","1","2","","1คาร์บ=½ ถ้วยตวง (75กรัม)"
"116","116","แตงไทย","แตงไทย","15","0","485","กรัม","1","2","","1คาร์บ=18 - 20 ชิ้นคำ (485กรัม)"
"117","117","แตงโม","แตงโม","15","0","285","กรัม","1","2","","1คาร์บ=9 - 10 ชิ้นคำ 2ถ้วยตวง (285กรัม)"
"118","118","ทุเรียนหมอนทอง","ทุเรียนหมอนทอง","15","0","50","กรัม","1","2","","1คาร์บ=½ เม็ดกลาง (50กรัม)"
"119","119","น้อยหน่า","น้อยหน่า","15","0","70","กรัม","1","2","","1คาร์บ=½ ผล (70กรัม)"
"120","120","พุทราไทย","พุทราไทย","15","0","75","กรัม","1","2","","1คาร์บ=4 - 5 ผลกลาง (75กรัม)"
"121","121","มะกอกฝรั่ง","มะกอกฝรั่ง","15","0","120","กรัม","1","2","","1คาร์บ=3ผล (120กรัม)"
"122","122","มะขามเทศ","มะขามเทศ","15","0","95","กรัม","1","2","","1คาร์บ=3ฝัก (95กรัม)"
"123","123","มะขามหวาน","มะขามหวาน","15","0","20","กรัม","1","2","","1คาร์บ=1 - 2 ฝักใหญ่ (20กรัม)"
"124","124","มะปรางสุก","มะปรางสุก","15","0","120","กรัม","1","2","","1คาร์บ=2 ผลกลาง (120กรัม)"
"125","125","มะพร้าวอ่อน (เนื้อ)","มะพร้าวอ่อน (เนื้อ)","15","0","200","กรัม","1","2","","1คาร์บ=- (200กรัม)"
"126","126","มะเฟืองหวาน","มะเฟืองหวาน","15","0","160","กรัม","1","2","","1คาร์บ=1ผล (160กรัม)"
"127","127","มะไฟ","มะไฟ","15","0","145","กรัม","1","2","","1คาร์บ=15 ผล (145กรัม)"
"128","128","มะม่วงเขียวเสวยดิบ","มะม่วงเขียวเสวยดิบ","15","0","135","กรัม","1","2","","1คาร์บ=½ ผลกลาง (135กรัม)"
"129","129","มะม่วงน้ำดอกไม้สุก","มะม่วงน้ำดอกไม้สุก","15","0","80","กรัม","1","2","","1คาร์บ=½ ผลกลาง (80กรัม)"
"130","130","มะยงชิด","มะยงชิด","15","0","100","กรัม","1","2","","1คาร์บ=2ผล (100กรัม)"
"131","131","มะละกอแขกดำสุก","มะละกอแขกดำสุก","15","0","115","กรัม","1","2","","1คาร์บ=8 ชิ้นคำ (115กรัม)"
"132","132","มังคุด","มังคุด","15","0","75","กรัม","1","2","","1คาร์บ=4ผล (75กรัม)"
"133","133","ระกำ","ระกำ","15","0","110","กรัม","1","2","","1คาร์บ=6ผล (110กรัม)"
"134","134","ลองกอง","ลองกอง","15","0","90","กรัม","1","2","","1คาร์บ=6 - 8 ผล (90กรัม)"
"135","135","ละมุด","ละมุด","15","0","70","กรัม","1","2","","1คาร์บ=1 ผลใหญ่ (70กรัม)"
"136","136","ลางสาด","ลางสาด","15","0","100","กรัม","1","2","","1คาร์บ=6 - 8 ผล (100กรัม)"
"137","137","ลำไยกะโหลก","ลำไยกะโหลก","15","0","80","กรัม","1","2","","1คาร์บ=6ผล (80กรัม)"
"138","138","ลิ้นจี่","ลิ้นจี่","15","0","115","กรัม","1","2","","1คาร์บ=6ผล (115กรัม)"
"139","139","ลูกเกด","ลูกเกด","15","0","22","กรัม","1","2","","1คาร์บ=2 ช้อนโต๊ะ (22กรัม)"
"140","140","ลูกตาลสด","ลูกตาลสด","15","0","155","กรัม","1","2","","1คาร์บ=3 ผล (155กรัม)"
"141","141","ลูกพรุน","ลูกพรุน","15","0","60","กรัม","1","2","","1คาร์บ=3 ผล (60กรัม)"
"142","142","ลูกพลับ","ลูกพลับ","15","0","120","กรัม","1","2","","1คาร์บ=½ ผลใหญ่ (120กรัม)"
"143","143","ลูกหว้า","ลูกหว้า","15","0","110","กรัม","1","2","","1คาร์บ=1 ถ้วยตวง (110กรัม)"
"144","144","สตรอเบอรี","สตรอเบอรี","15","0","175","กรัม","1","2","","1คาร์บ=8 - 10 ผลเล็ก (175กรัม)"
"145","145","ส้มเขียวหวาน","ส้มเขียวหวาน","15","0","160","กรัม","1","2","","1คาร์บ=2 ผลกลาง (160กรัม)"
"146","146","ส้มเช้ง","ส้มเช้ง","15","0","120","กรัม","1","2","","1คาร์บ=1 ผลใหญ่ (120กรัม)"
"147","147","ส้มโอทองดี","ส้มโอทองดี","15","0","120","กรัม","1","2","","1คาร์บ=2 - 3 กลีบกลาง (120กรัม)"
"148","148","สละ","สละ","15","0","110","กรัม","1","2","","1คาร์บ=6 ผล (110กรัม)"
"149","149","สับปะรดศรีราชา","สับปะรดศรีราชา","15","0","125","กรัม","1","2","","1คาร์บ=8 ชิ้นคำ (125กรัม)"
"150","150","สาลี่หอม","สาลี่หอม","15","0","110","กรัม","1","2","","1คาร์บ=1 ผลเล็ก (110กรัม)"
"151","151","องุ่นแดง (ผลใหญ่)","องุ่นแดง (ผลใหญ่)","15","0","100","กรัม","1","2","","1คาร์บ=6 ผล (100กรัม)"
"152","152","อินทผาลัม","อินทผาลัม","15","0","60","กรัม","1","2","","1คาร์บ=3 ผล (60กรัม)"
"153","153","แอปเปิ้ลแดง (ฟูจิ)","แอปเปิ้ลแดง (ฟูจิ)","15","0","100","กรัม","1","2","","1คาร์บ=1 ผลเล็ก (100กรัม)"
"154","154","แอปปริคอต","แอปปริคอต","15","0","3.5","ผล","1","2","","1คาร์บ=3 ½ ผล (3.5ผล)"
"155","155","น้ำมะพร้าวอ่อน","น้ำมะพร้าวอ่อน","15","0","240","ซีซี","1","2","","1คาร์บ=1 ถ้วยตวง (240ซีซี)"
"156","156","น้ำเสาวรส","น้ำเสาวรส","15","0","120","ซีซี","1","2","","1คาร์บ=½ ถ้วยตวง (120ซีซี)"
"157","157","น้ำส้ม","น้ำส้ม","15","0","120","ซีซี","1","2","","1คาร์บ=½ ถ้วยตวง (120ซีซี)"
"158","158","น้ำสับปะรด","น้ำสับปะรด","15","0","120","ซีซี","1","2","","1คาร์บ=½ ถ้วยตวง (120ซีซี)"
"159","159","น้ำแอปเปิ้ล","น้ำแอปเปิ้ล","15","0","120","ซีซี","1","2","","1คาร์บ=½ ถ้วยตวง (120ซีซี)"
"160","160","น้ำองุ่น","น้ำองุ่น","15","0","80","ซีซี","1","2","","1คาร์บ=⅓ ถ้วยตวง (80ซีซี)"
"161","161","หน่อไม้ฝรั่ง","หน่อไม้ฝรั่ง","15","0","3","ทัพพี","1","3","","0.3 คาร์บ = 1 ทัพพี"
"162","162","แครอท","แครอท","15","0","3","ทัพพี","1","3","","0.3 คาร์บ = 1 ทัพพี"
"163","163","มะละกอดิบ","มะละกอดิบ","15","0","3","ทัพพี","1","3","","0.3 คาร์บ = 1 ทัพพี"
